"movie_name";"daily_gross";"gross_to_date";"gross_per_theater";"date"
"The Spirit";559196;13067406;223;2008-12-31
"Australia";352091;45135608;495;2008-12-31
"Quantum of Solace";317896;165258802;357;2008-12-31
"Frost/Nixon";313866;4369220;1531;2008-12-31
"Milk";307869;14594325;990;2008-12-31
"Madagascar: Escape 2 Africa";254620;175687934;315;2008-12-31
"The Reader";149935;1674727;1293;2008-12-31
"Ghajini";86898;1708947;1047;2008-12-31
"The Wrestler";65621;1169379;3646;2008-12-31
"Nothing Like the Holidays";37148;7163279;85;2008-12-31
"Cadillac Records";36587;7844196;203;2008-12-31
"Last Chance Harvey";36027;208007;6005;2008-12-31
"Revolutionary Road";35287;313469;11762;2008-12-31
"Changeling";28500;35598217;250;2008-12-31
"Role Models";28125;66367815;125;2008-12-31
"Defiance";25237;25237;12619;2008-12-31
"Eagle Eye";22872;101198986;112;2008-12-31
"The Polar Express (IMAX re-issue 2008)";20556;1618248;791;2008-12-31
"The Boy in the Striped Pajamas";16432;8721222;171;2008-12-31
"Transporter 3";14063;31675631;104;2008-12-31
"Body of Lies";13670;39203583;75;2008-12-31
"Deep Sea 3D (IMAX)";12569;37246319;1571;2008-12-31
"The Secret Life of Bees";9533;37443851;124;2008-12-31
"Nights in Rodanthe";9058;41745871;79;2008-12-31
"Happy-Go-Lucky";8797;3220611;187;2008-12-31
"The Dark Knight";7112;530924926;96;2008-12-31
"Vicky Cristina Barcelona";6650;22772748;266;2008-12-31
"Zack and Miri Make a Porno";2332;31213743;51;2008-12-31
"Soul Men";2226;12017328;223;2008-12-31
"Appaloosa";1601;20072553;89;2008-12-31
"The Haunting of Molly Hartley";1294;13482372;50;2008-12-31
"Igor";367;19445931;8;2008-12-31
"Lola Montes (re-issue)";313;88937;157;2008-12-31
"Were the World Mine";190;86666;190;2008-12-31
"Taken";11655053;21072423;3662;2009-01-31
"Paul Blart: Mall Cop";7259165;80719295;2264;2009-01-31
"The Uninvited";4691045;9041395;2001;2009-01-31
"Hotel for Dogs";4507967;45968797;1427;2009-01-31
"Gran Torino";4422167;108976653;1467;2009-01-31
"Slumdog Millionaire";3932100;65816052;2408;2009-01-31
"Underworld: Rise of the Lycans";3568527;31668227;1213;2009-01-31
"New in Town";3111474;5548389;1603;2009-01-31
"My Bloody Valentine 3-D";2151915;44023323;1531;2009-01-31
"Inkheart";1843276;11944277;694;2009-01-31
"The Curious Case of Benjamin Button";1787704;115832010;841;2009-01-31
"Bride Wars";1714791;53259983;864;2009-01-31
"Revolutionary Road";1294139;15514097;1202;2009-01-31
"Defiance";1290410;22355024;776;2009-01-31
"The Wrestler";1204846;12664614;1669;2009-01-31
"The Reader";1147483;12114123;1145;2009-01-31
"Notorious (2009)";858761;34754303;795;2009-01-31
"Milk";734565;23136796;833;2009-01-31
"Frost/Nixon";729335;14062081;660;2009-01-31
"The Unborn (2009)";608220;41141785;465;2009-01-31
"Last Chance Harvey";583742;11421799;654;2009-01-31
"Marley and Me";477791;139581664;468;2009-01-31
"Doubt";399650;27789990;664;2009-01-31
"Twilight";297392;186878548;720;2009-01-31
"Bedtime Stories";288632;108437161;452;2009-01-31
"The Dark Knight";243869;532286579;1156;2009-01-31
"Not Easily Broken";213767;10248739;732;2009-01-31
"Valkyrie";200188;81552429;393;2009-01-31
"Madagascar: Escape 2 Africa";171358;179212368;623;2009-01-31
"The Tale of Despereaux";115440;49845370;370;2009-01-31
"Luck by Chance";106774;176021;1873;2009-01-31
"Yes Man";101353;95813522;366;2009-01-31
"Australia";81346;48920455;274;2009-01-31
"The Day the Earth Stood Still (2008)";64351;78755882;320;2009-01-31
"Four Christmases";42408;120059040;232;2009-01-31
"Deep Sea 3D (IMAX)";9959;37397147;1660;2009-01-31
"Vicky Cristina Barcelona";9101;23159218;364;2009-01-31
"Chandni Chowk to China";8522;908035;341;2009-01-31
"The Secret Life of Bees";4728;37720669;263;2009-01-31
"Outlander";4350;93935;132;2009-01-31
"The Haunting of Molly Hartley";2816;13556518;282;2009-01-31
"Were the World Mine";2709;101108;1355;2009-01-31
"Between Love & Goodbye";1927;5741;1927;2009-01-31
"Silent Light";1472;51665;1472;2009-01-31
"Soul Men";1424;12081016;129;2009-01-31
"Killshot";807;16659;161;2009-01-31
"Lola Montes (re-issue)";597;104416;299;2009-01-31
"Tyler Perry's Madea Goes to Jail";7826565;60880463;3814;2009-02-28
"Slumdog Millionaire";5531344;111798264;1879;2009-02-28
"Jonas Brothers: The 3D Concert Experience";4698475;9658784;3697;2009-02-28
"Taken";4581374;105411292;1483;2009-02-28
"Paul Blart: Mall Cop";2683100;126610104;994;2009-02-28
"He's Just Not That Into You";2643705;77218042;925;2009-02-28
"Coraline";2401273;59468745;1148;2009-02-28
"Confessions of a Shopaholic";2042561;32670233;806;2009-02-28
"Street Fighter: The Legend of Chun-Li";1791085;3555529;1577;2009-02-28
"Friday the 13th (2009)";1631609;59819306;591;2009-02-28
"Fired Up";1630492;9331909;900;2009-02-28
"Gran Torino";1463789;137827952;836;2009-02-28
"The Reader";1318914;26176985;1096;2009-02-28
"The International";1284555;20582197;632;2009-02-28
"The Pink Panther 2";1126687;31863279;600;2009-02-28
"Push";997516;27268711;637;2009-02-28
"Hotel for Dogs";809508;67077861;586;2009-02-28
"Milk";688563;29582082;832;2009-02-28
"The Wrestler";641482;23123117;827;2009-02-28
"The Curious Case of Benjamin Button";364543;125172372;653;2009-02-28
"The Uninvited";338727;26870081;461;2009-02-28
"Under the Sea 3D";251120;2212934;4924;2009-02-28
"Doubt";230923;31736369;577;2009-02-28
"Twilight";208917;189976575;466;2009-02-28
"Underworld: Rise of the Lycans";197454;45670354;558;2009-02-28
"Echelon Conspiracy";195500;376000;489;2009-02-28
"New in Town";177871;15764681;412;2009-02-28
"Revolutionary Road";171894;21840247;565;2009-02-28
"Frost/Nixon";171625;17787466;520;2009-02-28
"Marley and Me";161150;141886903;513;2009-02-28
"Defiance";152236;27605030;480;2009-02-28
"Valkyrie";96451;82569683;334;2009-02-28
"Inkheart";78821;16205637;400;2009-02-28
"Bride Wars";75811;57674579;338;2009-02-28
"The Tale of Despereaux";74385;50779070;300;2009-02-28
"Last Chance Harvey";74278;13891454;410;2009-02-28
"Delhi 6";73800;772225;820;2009-02-28
"Yes Man";64418;97185164;379;2009-02-28
"The Dark Knight";54697;533292620;1013;2009-02-28
"The Unborn (2009)";48750;42611910;325;2009-02-28
"Crossing Over";32104;56353;3567;2009-02-28
"Fanboys";29165;467398;858;2009-02-28
"My Bloody Valentine 3-D";26638;51460119;290;2009-02-28
"The Day the Earth Stood Still (2008)";21345;79273566;368;2009-02-28
"Australia";16795;49476893;262;2009-02-28
"Deep Sea 3D (IMAX)";13939;37487997;3485;2009-02-28
"Notorious (2009)";9235;36788319;225;2009-02-28
"Lola Montes (re-issue)";2658;112991;1329;2009-02-28
"Live Fast, Die Young";2362;14478;2362;2009-02-28
"Outlander";2310;147240;193;2009-02-28
"Crips and Bloods: Made in America";612;50627;612;2009-02-28
"Were the World Mine";280;119437;280;2009-02-28
"Made in U.S.A. (re-issue)";186;67461;186;2009-02-28
"I.O.U.S.A.";71;820900;71;2009-02-28
"Monsters Vs. Aliens";3370072;66213625;821;2009-03-31
"The Haunting in Connecticut";1278037;25629557;468;2009-03-31
"I Love You, Man";1156408;39331471;426;2009-03-31
"Knowing";1050535;48233845;315;2009-03-31
"Duplicity";658005;26941995;255;2009-03-31
"Race to Witch Mountain";417845;54253949;128;2009-03-31
"12 Rounds";401622;6087220;172;2009-03-31
"Watchmen";263540;103790406;131;2009-03-31
"The Last House on the Left (2009)";247435;28976120;110;2009-03-31
"Taken";205702;137464453;105;2009-03-31
"Slumdog Millionaire";113401;139551677;135;2009-03-31
"Sunshine Cleaning";104971;2680867;629;2009-03-31
"Tyler Perry's Madea Goes to Jail";82369;89229892;73;2009-03-31
"Paul Blart: Mall Cop";72814;142641708;67;2009-03-31
"He's Just Not That Into You";47469;92601063;94;2009-03-31
"Under the Sea 3D";44297;4379151;1197;2009-03-31
"Gran Torino";40231;145889836;84;2009-03-31
"Coraline";39372;74001649;109;2009-03-31
"The Reader";35547;33547884;110;2009-03-31
"Hotel for Dogs";27648;71404814;73;2009-03-31
"The Curious Case of Benjamin Button";26200;127070295;107;2009-03-31
"Revolutionary Road";10707;22895230;75;2009-03-31
"The Wrestler";10634;25985397;74;2009-03-31
"Doubt";10432;33355581;91;2009-03-31
"Bride Wars";10341;58490387;72;2009-03-31
"Inkheart";9406;17221882;62;2009-03-31
"Push";8688;31173257;71;2009-03-31
"Marley and Me";8479;143008767;66;2009-03-31
"Last Chance Harvey";7902;14730362;59;2009-03-31
"Defiance";7132;28482334;89;2009-03-31
"Miss March";6994;4498961;41;2009-03-31
"Sin Nombre";6652;200116;1109;2009-03-31
"The Uninvited";5573;28584581;33;2009-03-31
"Street Fighter: The Legend of Chun-Li";4998;8566786;62;2009-03-31
"Twilight";4011;191457159;27;2009-03-31
"Friday the 13th (2009)";3781;64790203;40;2009-03-31
"Crossing Over";3726;410304;89;2009-03-31
"Goodbye Solo";3451;44205;1150;2009-03-31
"Milk";3282;31796665;61;2009-03-31
"Yes Man";3120;97686204;53;2009-03-31
"Fanboys";1875;626129;67;2009-03-31
"Z (40th anniv. re-issue)";1367;37026;1367;2009-03-31
"Valkyrie";1248;83069215;39;2009-03-31
"The Education of Charlie Banks";584;9916;195;2009-03-31
"Yaavarum Nalam";480;36340;160;2009-03-31
"Crips and Bloods: Made in America";210;69907;210;2009-03-31
"The New Twenty";200;12311;200;2009-03-31
"Throw Down Your Heart";117;11998;117;2009-03-31
"Super Capers";108;30695;10;2009-03-31
"Obsessed";1327424;34802334;528;2009-04-30
"Earth (2009)";778111;17664049;431;2009-04-30
"The Soloist";665058;12508138;329;2009-04-30
"17 Again";574625;42142459;177;2009-04-30
"State of Play";504445;27228200;180;2009-04-30
"Fighting";473225;13333340;205;2009-04-30
"Monsters Vs. Aliens";446688;176604542;133;2009-04-30
"Fast and Furious";391805;147042315;110;2009-04-30
"Hannah Montana The Movie";289135;66782138;89;2009-04-30
"Crank: High Voltage";237231;12805205;107;2009-04-30
"I Love You, Man";183054;68570273;117;2009-04-30
"Observe and Report";159736;22874896;79;2009-04-30
"Knowing";141839;77364765;76;2009-04-30
"The Haunting in Connecticut";101632;54614672;61;2009-04-30
"Under the Sea 3D";68215;6538393;1586;2009-04-30
"Sunshine Cleaning";62551;10012383;98;2009-04-30
"Adventureland";56239;15360509;97;2009-04-30
"Duplicity";36595;40019995;60;2009-04-30
"Gran Torino";28705;147208215;82;2009-04-30
"Taken";28437;142727019;63;2009-04-30
"Sin Nombre";21286;1581081;256;2009-04-30
"Dragonball Evolution";18633;8810619;37;2009-04-30
"Watchmen";13987;107117216;96;2009-04-30
"He's Just Not That Into You";13142;93678294;57;2009-04-30
"Hotel for Dogs";12206;72637068;44;2009-04-30
"Is Anybody There?";11409;229870;211;2009-04-30
"The Last House on the Left (2009)";10225;32513620;45;2009-04-30
"Slumdog Millionaire";8904;141206357;68;2009-04-30
"Coraline";6786;74956313;48;2009-04-30
"Defiance";5687;28644813;56;2009-04-30
"12 Rounds";5620;11514734;25;2009-04-30
"Goodbye Solo";3896;281158;260;2009-04-30
"Push";3891;31746790;42;2009-04-30
"Throw Down Your Heart";3072;36208;1536;2009-04-30
"The Reader";2175;34167408;40;2009-04-30
"The Wrestler";2107;26221216;64;2009-04-30
"Bride Wars";1262;58707170;49;2009-04-30
"The Golden Boys";582;37436;53;2009-04-30
"Enlighten Up!";437;94602;219;2009-04-30
"Z (40th anniv. re-issue)";436;47406;436;2009-04-30
"Coyote County Loser";390;19394;195;2009-04-30
"Royal Kill";308;50090;308;2009-04-30
"Alien Trespass";58;80161;12;2009-04-30
"Up";20232637;68108790;5372;2009-05-31
"Night at the Museum: Battle of the Smithsonian";6622310;104150268;1615;2009-05-31
"Terminator Salvation";4713328;90949924;1309;2009-05-31
"Drag Me to Hell";3661680;15825480;1460;2009-05-31
"Star Trek";3608638;209313884;1029;2009-05-31
"Angels & Demons";3194582;104913439;922;2009-05-31
"Dance Flick";1129408;19084907;459;2009-05-31
"X-Men Origins: Wolverine";1023311;170843712;452;2009-05-31
"Ghosts of Girlfriends Past";475279;50021779;328;2009-05-31
"The Brothers Bloom";172925;1360130;1168;2009-05-31
"Obsessed";159328;67500481;235;2009-05-31
"The Soloist";131264;30251623;319;2009-05-31
"Monsters Vs. Aliens";94882;194421864;168;2009-05-31
"17 Again";82773;61233890;204;2009-05-31
"Fast and Furious";64285;153945790;215;2009-05-31
"Next Day Air";63508;9479286;270;2009-05-31
"Under the Sea 3D";62974;8833795;1536;2009-05-31
"State of Play";49200;36566450;205;2009-05-31
"I Love You, Man";39576;71347010;174;2009-05-31
"Observe and Report";35509;23790117;160;2009-05-31
"Fighting";35305;22881910;210;2009-05-31
"Is Anybody There?";33423;1756479;281;2009-05-31
"Knowing";32516;79395115;167;2009-05-31
"Sunshine Cleaning";25792;11676657;283;2009-05-31
"Sin Nombre";16958;2374932;320;2009-05-31
"Goodbye Solo";15971;580370;484;2009-05-31
"Taken";13384;144865957;131;2009-05-31
"Gran Torino";8313;148017037;126;2009-05-31
"The Limits of Control";8303;316339;415;2009-05-31
"Coraline";6221;75195256;173;2009-05-31
"The Boys: The Sherman Brothers' Story";2672;31883;534;2009-05-31
"Pressure Cooker";1736;10776;1736;2009-05-31
"He's Just Not That Into You";1319;93934381;88;2009-05-31
"Not Forgotten";801;51932;267;2009-05-31
"The Golden Boys";378;41590;378;2009-05-31
"Made in U.S.A. (re-issue)";194;83002;194;2009-05-31
"Alien Trespass";136;82823;68;2009-05-31
"Battle for Terra";85;1618688;21;2009-05-31
"Throw Down Your Heart";79;45148;79;2009-05-31
"Transformers: Revenge of the Fallen";13510024;228441219;3191;2009-06-30
"The Proposal";3287320;75205432;1075;2009-06-30
"The Hangover";2749356;188381740;780;2009-06-30
"Up";2571769;254967154;738;2009-06-30
"My Sister's Keeper";2270492;16748850;871;2009-06-30
"Year One";1082850;34645192;358;2009-06-30
"The Taking of Pelham 1 2 3";828005;54970829;276;2009-06-30
"Night at the Museum: Battle of the Smithsonian";754033;164739568;335;2009-06-30
"Star Trek";526347;247306259;289;2009-06-30
"Away We Go";235990;4534622;477;2009-06-30
"Land of the Lost";203040;47206590;135;2009-06-30
"Angels & Demons";185810;130625058;205;2009-06-30
"Terminator Salvation";178279;122258363;162;2009-06-30
"Imagine That";172835;14385549;152;2009-06-30
"Monsters Vs. Aliens";89832;196139512;289;2009-06-30
"Under the Sea 3D";87586;11163265;2305;2009-06-30
"Drag Me to Hell";85670;40704025;130;2009-06-30
"X-Men Origins: Wolverine";57845;177940106;161;2009-06-30
"Cheri";52721;503934;694;2009-06-30
"17 Again";42763;63194004;168;2009-06-30
"Ghosts of Girlfriends Past";24504;53711375;168;2009-06-30
"The Brothers Bloom";22065;3157102;109;2009-06-30
"My Life in Ruins";21422;8171857;162;2009-06-30
"The Soloist";21166;31565237;93;2009-06-30
"The Hurt Locker";20407;187073;5102;2009-06-30
"Dance Flick";16456;25174410;110;2009-06-30
"The Stoning of Soraya M.";14454;141807;535;2009-06-30
"Fast and Furious";12330;155044825;90;2009-06-30
"Knowing";6929;79923582;122;2009-06-30
"Tetro";6387;196046;426;2009-06-30
"Goodbye Solo";3467;791540;105;2009-06-30
"Sunshine Cleaning";2886;12039091;53;2009-06-30
"Next Day Air";2545;10021985;39;2009-06-30
"Coraline";1577;75282972;83;2009-06-30
"Sin Nombre";1130;2520917;57;2009-06-30
"Is Anybody There?";961;2009440;57;2009-06-30
"War Eagle, Arkansas";576;44380;144;2009-06-30
"Call of the Wild 3D";376;28682;125;2009-06-30
"The Limits of Control";300;425732;43;2009-06-30
"Battle for Terra";104;1620625;52;2009-06-30
"The Golden Boys";45;43350;45;2009-06-30
"Funny People";8690230;8690230;2890;2009-07-31
"G-Force";5772681;55176104;1561;2009-07-31
"Harry Potter and the Half-Blood Prince";5375629;243138489;1224;2009-07-31
"The Ugly Truth";4449247;45930655;1544;2009-07-31
"Aliens in the Attic";2896998;2896998;933;2009-07-31
"Orphan";2458753;22000146;894;2009-07-31
"Ice Age: Dawn of the Dinosaurs";1684780;178227569;611;2009-07-31
"The Proposal";1620557;145654234;666;2009-07-31
"The Hangover";1561318;252257735;754;2009-07-31
"Transformers: Revenge of the Fallen";1430285;384931276;545;2009-07-31
"The Collector";1339211;1339211;1011;2009-07-31
"(500) Days of Summer";873079;4943694;3282;2009-07-31
"Public Enemies";704685;91377040;435;2009-07-31
"The Hurt Locker";533436;5379601;1020;2009-07-31
"Up";341028;285219693;470;2009-07-31
"Bruno";276390;58488380;370;2009-07-31
"My Sister's Keeper";216242;46307748;330;2009-07-31
"Night at the Museum: Battle of the Smithsonian";172784;173627461;495;2009-07-31
"The Taking of Pelham 1 2 3";117008;64202096;306;2009-07-31
"Under the Sea 3D";111539;14134700;2788;2009-07-31
"I Love You Beth Cooper";105812;14014039;348;2009-07-31
"Star Trek";92467;254426936;406;2009-07-31
"Terminator Salvation";86594;124269488;267;2009-07-31
"Year One";72303;42653821;304;2009-07-31
"Angels & Demons";52992;133244751;215;2009-07-31
"Away We Go";45131;9087220;318;2009-07-31
"Land of the Lost";39060;49148725;210;2009-07-31
"Imagine That";38258;15712603;214;2009-07-31
"Monsters Vs. Aliens";30750;197926692;198;2009-07-31
"Drag Me to Hell";27195;41992920;245;2009-07-31
"X-Men Origins: Wolverine";25267;179581315;196;2009-07-31
"Cheri";25102;2477744;235;2009-07-31
"Adam";20886;49397;5222;2009-07-31
"Ghosts of Girlfriends Past";20578;55136700;264;2009-07-31
"The Cove";20458;20458;5115;2009-07-31
"Shrink";18054;41910;669;2009-07-31
"Thirst";17388;17388;4347;2009-07-31
"17 Again";9707;64132653;360;2009-07-31
"War Eagle, Arkansas";9425;83705;2356;2009-07-31
"The Stoning of Soraya M.";7119;553673;356;2009-07-31
"My Life in Ruins";6568;8565348;253;2009-07-31
"The Brothers Bloom";4557;3507570;138;2009-07-31
"Gotta Dance";2932;2932;2932;2009-07-31
"You, the Living";2082;5424;2082;2009-07-31
"Goodbye Solo";2078;846723;189;2009-07-31
"Z (40th anniv. re-issue)";731;71844;731;2009-07-31
"The Golden Boys";15;43501;15;2009-07-31
"The Final Destination";2233058;29641367;715;2009-08-31
"Inglourious Basterds";1964452;74987293;621;2009-08-31
"Halloween II (2009)";1091940;17441504;361;2009-08-31
"District 9";1026212;91409924;323;2009-08-31
"Julie & Julia";718061;71346124;287;2009-08-31
"G.I. Joe: The Rise of Cobra";583025;132734979;168;2009-08-31
"The Time Traveler's Wife";577115;48477533;195;2009-08-31
"Shorts";348413;13555110;112;2009-08-31
"Taking Woodstock";295590;3773925;212;2009-08-31
"G-Force";231319;112011669;120;2009-08-31
"Harry Potter and the Half-Blood Prince";228130;294486205;151;2009-08-31
"(500) Days of Summer";205825;25409711;226;2009-08-31
"Ponyo";169082;11202338;192;2009-08-31
"The Ugly Truth";163906;85911838;131;2009-08-31
"The Goods: Live Hard, Sell Hard";144506;13962434;101;2009-08-31
"Post Grad";136780;5444702;70;2009-08-31
"The Hangover";111247;270349000;139;2009-08-31
"Transformers: Revenge of the Fallen";52819;399468859;85;2009-08-31
"Ice Age: Dawn of the Dinosaurs";46724;193296935;108;2009-08-31
"Funny People";37170;51361540;90;2009-08-31
"Under the Sea 3D";35174;16726979;326;2009-08-31
"Adam";32842;1393329;186;2009-08-31
"Orphan";32776;40644256;68;2009-08-31
"A Perfect Getaway";32640;15034335;60;2009-08-31
"The Hurt Locker";30149;11626061;99;2009-08-31
"Aliens in the Attic";29875;23017377;52;2009-08-31
"My Sister's Keeper";27429;48435348;84;2009-08-31
"The September Issue";27032;247665;4505;2009-08-31
"Star Trek";21520;256694793;99;2009-08-31
"Night at the Museum: Battle of the Smithsonian";20244;176482152;87;2009-08-31
"Public Enemies";17160;97047885;65;2009-08-31
"Paper Heart";13320;951473;139;2009-08-31
"My One and Only";8486;174127;849;2009-08-31
"Bandslam";6899;4942769;33;2009-08-31
"The Cove";6242;625709;250;2009-08-31
"Kaminey";4350;1208927;69;2009-08-31
"Terminator Salvation";3092;125289981;38;2009-08-31
"The Collector";2717;7547513;73;2009-08-31
"I Love You Beth Cooper";2622;14709366;34;2009-08-31
"Spread";1796;240981;40;2009-08-31
"Brighton Rock (re-issue)";1398;36378;1398;2009-08-31
"X-Men Origins: Wolverine";1355;179864899;52;2009-08-31
"Shrink";896;180461;112;2009-08-31
"The Open Road";668;13991;48;2009-08-31
"Mystery Team";369;8209;369;2009-08-31
"Z (40th anniv. re-issue)";160;80508;160;2009-08-31
"Goodbye Solo";98;866887;20;2009-08-31
"American Casino";75;7255;75;2009-08-31
"The Stoning of Soraya M.";65;621741;16;2009-08-31
"Surrogates";921089;18168779;312;2009-09-30
"The Wizard of Oz (NCM Fathom Events)";910000;910000;2018;2009-09-30
"Cloudy with a Chance of Meatballs";907137;64707675;291;2009-09-30
"The Informant!";507419;22305890;203;2009-09-30
"Fame (2009)";386236;11499313;125;2009-09-30
"Love Happens";351130;15800500;185;2009-09-30
"Pandorum";330812;5576402;132;2009-09-30
"Inglourious Basterds";253576;115219902;129;2009-09-30
"Tyler Perry's I Can Do Bad All By Myself";242028;45427453;114;2009-09-30
"Jennifer's Body";238171;13281594;87;2009-09-30
"9";176006;27859027;111;2009-09-30
"All About Steve";159909;30438322;81;2009-09-30
"Julie & Julia";137284;91016144;103;2009-09-30
"The Final Destination";100029;64929363;85;2009-09-30
"District 9";95184;113825828;103;2009-09-30
"Bright Star";65670;1156871;505;2009-09-30
"Sorority Row";65219;10934110;43;2009-09-30
"G.I. Joe: The Rise of Cobra";54608;147588200;61;2009-09-30
"Gamer";48571;20304899;62;2009-09-30
"The September Issue";45265;2646130;317;2009-09-30
"I Hope They Serve Beer in Hell";43244;498403;360;2009-09-30
"Whiteout";42801;9953162;41;2009-09-30
"The Time Traveler's Wife";42748;61869972;53;2009-09-30
"(500) Days of Summer";39682;31783311;96;2009-09-30
"The Hangover";37127;274563907;105;2009-09-30
"My One and Only";28861;2044499;113;2009-09-30
"Halloween II (2009)";23954;32134930;50;2009-09-30
"Capitalism: A Love Story";21734;372034;5434;2009-09-30
"Harry Potter and the Half-Blood Prince";21276;300033000;71;2009-09-30
"Extract";20599;10707897;79;2009-09-30
"Ice Age: Dawn of the Dinosaurs";18038;195448014;63;2009-09-30
"Under the Sea 3D";14354;17689633;368;2009-09-30
"Transformers: Revenge of the Fallen";12552;401790274;46;2009-09-30
"What's Your Rashee?";9945;198014;128;2009-09-30
"Orphan";8674;41499509;51;2009-09-30
"Aliens in the Attic";7803;24675214;31;2009-09-30
"Paranormal Activity";6828;96283;569;2009-09-30
"The Hurt Locker";6781;12505375;83;2009-09-30
"Star Trek";5710;257721833;64;2009-09-30
"The Goods: Live Hard, Sell Hard";5134;15117707;45;2009-09-30
"The Boys Are Back";4747;64799;791;2009-09-30
"My Sister's Keeper";4382;49152399;50;2009-09-30
"Taking Woodstock";4126;7455731;53;2009-09-30
"Adam";3486;2189525;77;2009-09-30
"Night at the Museum: Battle of the Smithsonian";3458;177129403;36;2009-09-30
"The Cove";3043;794836;82;2009-09-30
"Shorts";2793;20294340;10;2009-09-30
"Paper Heart";2459;1239753;48;2009-09-30
"The Other Man";1401;119610;127;2009-09-30
"Teza";718;22244;718;2009-09-30
"Post Grad";718;6361863;13;2009-09-30
"Mystery Team";269;20508;269;2009-09-30
"Beyond a Reasonable Doubt";144;32833;144;2009-09-30
"The Stoning of Soraya M.";142;631717;47;2009-09-30
"Shrink";32;188776;32;2009-09-30
"Michael Jackson's This Is It";7075741;26115999;2033;2009-10-31
"Paranormal Activity";6576554;80820385;2736;2009-10-31
"Law Abiding Citizen";2752122;49246011;996;2009-10-31
"Couples Retreat";2224110;85180405;735;2009-10-31
"Saw VI";2095785;21265003;690;2009-10-31
"Where the Wild Things Are";1684455;60352292;462;2009-10-31
"Amelia";1245255;7519688;1164;2009-10-31
"The Stepfather (2009)";1173485;23720712;500;2009-10-31
"Cirque du Freak: The Vampire's Assistant";1074440;9777225;390;2009-10-31
"Zombieland";995676;70436373;484;2009-10-31
"Astro Boy";967982;9799154;321;2009-10-31
"Cloudy with a Chance of Meatballs";798784;117507485;344;2009-10-31
"A Serious Man";439614;4304024;1847;2009-10-31
"Halloween II (2009)";191932;33008281;177;2009-10-31
"Good Hair";164154;3327379;395;2009-10-31
"Capitalism: A Love Story";149140;13544352;303;2009-10-31
"The Invention of Lying";140228;17471521;310;2009-10-31
"The Boondock Saints II: All Saints Day";117581;373251;1729;2009-10-31
"The Informant!";82450;32688964;375;2009-10-31
"London Dreams";76373;142961;931;2009-10-31
"Whip It";65473;12544977;252;2009-10-31
"New York, I Love You";57686;946392;671;2009-10-31
"Bright Star";54293;4081854;382;2009-10-31
"Julie & Julia";47872;93457892;344;2009-10-31
"Inglourious Basterds";42230;119559511;285;2009-10-31
"The Hangover";39407;276736189;183;2009-10-31
"The Time Traveler's Wife";37768;63010571;172;2009-10-31
"The Final Destination";34297;66216755;147;2009-10-31
"Harry Potter and the Half-Blood Prince";34101;301540576;170;2009-10-31
"Love Happens";32130;22902820;170;2009-10-31
"G.I. Joe: The Rise of Cobra";30292;150135000;148;2009-10-31
"District 9";29264;115618728;166;2009-10-31
"All About Steve";26103;33445489;170;2009-10-31
"The Boys Are Back";22603;768634;263;2009-10-31
"The Maid";21439;120912;1649;2009-10-31
"More Than a Game";20614;811988;186;2009-10-31
"Ice Age: Dawn of the Dinosaurs";20422;196340014;189;2009-10-31
"Pandorum";19405;10244157;132;2009-10-31
"The September Issue";19164;3569840;417;2009-10-31
"Fame (2009)";18458;22284467;107;2009-10-31
"Under the Sea 3D";17893;18340908;617;2009-10-31
"Jennifer's Body";10815;16128173;102;2009-10-31
"9";10218;31376147;112;2009-10-31
"Sorority Row";8996;11950151;176;2009-10-31
"(500) Days of Summer";8547;32289093;199;2009-10-31
"Aliens in the Attic";7453;25127570;122;2009-10-31
"My One and Only";5578;2434607;349;2009-10-31
"I Hope They Serve Beer in Hell";2450;1414725;129;2009-10-31
"Gentlemen Broncos";2162;6406;1081;2009-10-31
"Adam";1843;2268106;307;2009-10-31
"Motherhood";1568;72338;157;2009-10-31
"Wake Up Sid";1441;716585;288;2009-10-31
"From Mexico with Love";1346;543311;150;2009-10-31
"Main Aurr Mrs. Khanna";946;194551;105;2009-10-31
"Shorts";816;20457002;48;2009-10-31
"American Casino";795;49453;795;2009-10-31
"Whiteout";596;10187917;75;2009-10-31
"The Bicycle Thief (2009 re-issue)";513;513;513;2009-10-31
"The Cove";492;837923;70;2009-10-31
"The Big Gay Musical";231;21802;231;2009-10-31
"The Stoning of Soraya M.";111;635194;37;2009-10-31
"The Twilight Saga: New Moon";2386972;233334668;591;2009-11-30
"The Blind Side";2063321;102302162;657;2009-11-30
"2012";963886;139415313;280;2009-11-30
"Ninja Assassin";937232;22130797;374;2009-11-30
"Old Dogs";727490;24956036;212;2009-11-30
"A Christmas Carol (2009)";626014;105553830;208;2009-11-30
"Precious: Based on the Novel \"Push\" by Sapphire";416464;32849946;628;2009-11-30
"Planet 51";325826;28813235;107;2009-11-30
"Fantastic Mr. Fox";310777;10334849;153;2009-11-30
"The Boondock Saints II: All Saints Day";140974;5863697;378;2009-11-30
"The Princess and the Frog";130750;1347610;65375;2009-11-30
"The Road";122062;2099515;1100;2009-11-30
"The Men Who Stare at Goats";88797;30610727;79;2009-11-30
"Michael Jackson's This Is It";55625;71900049;97;2009-11-30
"Couples Retreat";51720;106751925;60;2009-11-30
"Law Abiding Citizen";51360;71556890;88;2009-11-30
"Pirate Radio";50306;6881161;105;2009-11-30
